-1876,-16528,132,-659,-348,-46
-1864,-16480,52,-678,-292,-6
-1784,-16548,-4,-663,-371,14
-1804,-16536,-20,-663,-400,-16
-1792,-16448,-28,-678,-395,-26
-1708,-16472,-96,-629,-400,-10
-1752,-16560,-136,-624,-362,-7
11376,-19356,26020,-8379,-2362,-4668
6612,2728,17580,6525,-20644,-1116
3548,-18296,9516,-6668,-1251,-4789
-2408,-16100,28,-4635,884,1070
348,-18144,-1048,-2767,-269,1031
-1288,-16580,-804,-822,-1690,213
-1172,-16608,-960,-402,85,-75
-1048,-16624,-588,-123,10,-35
-888,-16704,-156,-418,333,-144
-768,-16688,-132,-485,1161,-45
-868,-16524,92,-734,-83,13
-728,-16800,-36,-731,-528,38
-872,-16580,-40,-640,-527,-7
-892,-16548,144,-655,-379,24
-968,-16688,200,-653,-609,-4


 